ftmo_symbol,asset_class,dukascopy_symbol,price_divisor,proxy_note
AUDCAD.sim,fx,AUDCAD,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
AUDCHF.sim,fx,AUDCHF,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
AUDJPY.sim,fx,AUDJPY,1000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
AUDNZD.sim,fx,AUDNZD,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
AUDUSD.sim,fx,AUDUSD,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
CADCHF.sim,fx,CADCHF,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
CADJPY.sim,fx,CADJPY,1000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
CHFJPY.sim,fx,CHFJPY,1000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
EURAUD.sim,fx,EURAUD,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
EURCAD.sim,fx,EURCAD,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
EURCHF.sim,fx,EURCHF,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
EURCZK.sim,fx,EURCZK,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
EURGBP.sim,fx,EURGBP,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
EURHUF.sim,fx,EURHUF,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
EURJPY.sim,fx,EURJPY,1000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
EURNOK.sim,fx,EURNOK,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
EURNZD.sim,fx,EURNZD,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
EURPLN.sim,fx,EURPLN,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
EURSEK.sim,fx,EURSEK,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
EURUSD.sim,fx,EURUSD,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
GBPAUD.sim,fx,GBPAUD,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
GBPCAD.sim,fx,GBPCAD,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
GBPCHF.sim,fx,GBPCHF,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
GBPJPY.sim,fx,GBPJPY,1000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
GBPNZD.sim,fx,GBPNZD,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
GBPUSD.sim,fx,GBPUSD,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
NZDCAD.sim,fx,NZDCAD,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
NZDCHF.sim,fx,NZDCHF,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
NZDJPY.sim,fx,NZDJPY,1000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
NZDUSD.sim,fx,NZDUSD,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
USDCAD.sim,fx,USDCAD,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
USDCHF.sim,fx,USDCHF,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
USDCNH.sim,fx,USDCNH,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
USDCZK.sim,fx,USDCZK,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
USDHUF.sim,fx,USDHUF,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
USDJPY.sim,fx,USDJPY,1000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
USDMXN.sim,fx,USDMXN,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
USDNOK.sim,fx,USDNOK,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
USDPLN.sim,fx,USDPLN,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
USDSEK.sim,fx,USDSEK,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
USDSGD.sim,fx,USDSGD,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
USDZAR.sim,fx,USDZAR,100000,FTMO US simulated spot FX; Dukascopy ask/bid liquidity-feed proxy
BTCUSD.sim,crypto,BTCUSD,10,FTMO US rolling simulated BTC contract; Dukascopy BTC/USD proxy
US100.sim,index,USATECHIDXUSD,1000,FTMO US rolling index contract; Dukascopy US Tech Index CFD proxy
US30.sim,index,USA30IDXUSD,1000,FTMO US rolling index contract; Dukascopy US 30 Index CFD proxy
US500.sim,index,USA500IDXUSD,1000,FTMO US rolling index contract; Dukascopy US 500 Index CFD proxy
USOIL.sim,commodity,LIGHTCMDUSD,1000,FTMO US rolling crude-oil contract; Dukascopy Light Crude CFD proxy
XAGUSD.sim,commodity,XAGUSD,1000,FTMO US rolling silver contract; Dukascopy spot silver proxy
XAUUSD.sim,commodity,XAUUSD,1000,FTMO US rolling gold contract; Dukascopy spot gold proxy
